logbookId,projectId,logType,logStatus,severity,ownerName,createdDate,resolvedDate,summaryText,sourceSystem
LB-00054,PJ-100-02-02,Decision,Mitigated,Medium,S. Jones,2026-01-27,2026-02-20,Data mapping requires architecture decision,SyntheticPlanview
LB-00055,PJ-300-03-02,Risk,In Review,Low,L. Brown,2026-06-23,,Change request approved by steering group,SyntheticPlanview
LB-00056,PJ-100-03-01,Issue,Mitigated,Critical,L. Brown,2026-04-23,2026-05-07,Change request approved by steering group,SyntheticPlanview
LB-00057,PJ-200-03-04,Risk,In Review,Low,M. Chen,2026-08-09,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00058,PJ-300-02-03,Dependency,Closed,High,M. Chen,2026-07-06,2026-07-29,Data mapping requires architecture decision,SyntheticPlanview
LB-00059,PJ-200-01-03,Issue,Open,High,K. Davis,2026-06-15,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00060,PJ-300-03-03,Assumption,Mitigated,Medium,K. Davis,2026-08-13,2026-08-27,Security review pending for integration approach,SyntheticPlanview
LB-00061,PJ-200-01-04,Issue,Open,Critical,S. Jones,2026-06-15,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00062,PJ-200-01-01,Risk,Blocked,Low,R. Patel,2026-05-08,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00063,PJ-100-02-04,Dependency,Blocked,High,L. Brown,2026-04-10,,Change request approved by steering group,SyntheticPlanview
LB-00064,PJ-100-03-02,Risk,Closed,Low,A. Smith,2026-07-15,2026-07-20,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00065,PJ-100-03-04,Dependency,Open,High,K. Davis,2026-01-11,,Change request approved by steering group,SyntheticPlanview
LB-00066,PJ-300-01-03,Dependency,Closed,Low,K. Davis,2026-07-16,2026-08-13,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00067,PJ-300-01-05,Decision,In Review,Low,R. Patel,2026-06-07,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00068,PJ-300-01-03,Issue,In Review,High,S. Jones,2026-08-24,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00069,PJ-300-03-01,Decision,Open,Critical,K. Davis,2026-07-15,,Data mapping requires architecture decision,SyntheticPlanview
LB-00070,PJ-100-01-04,Dependency,Open,Low,S. Jones,2026-03-04,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00071,PJ-300-02-04,Issue,Mitigated,Low,A. Smith,2026-01-15,2026-02-27,Change request approved by steering group,SyntheticPlanview
LB-00072,PJ-100-02-04,Issue,Open,Critical,R. Patel,2026-06-29,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00073,PJ-300-01-04,Decision,Mitigated,Medium,K. Davis,2026-07-20,2026-07-31,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00074,PJ-100-02-03,Decision,Open,Critical,R. Patel,2026-07-17,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00075,PJ-100-01-05,Risk,Blocked,Critical,S. Jones,2026-03-09,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00076,PJ-200-02-04,Issue,Closed,High,M. Chen,2026-01-15,2026-02-21,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00077,PJ-100-02-02,Risk,Blocked,Medium,K. Davis,2026-08-17,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00078,PJ-100-01-01,Issue,Open,Low,S. Jones,2026-01-12,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00079,PJ-200-02-05,Issue,In Review,Low,L. Brown,2026-08-24,,Change request approved by steering group,SyntheticPlanview
LB-00080,PJ-300-03-02,Decision,In Review,Medium,S. Jones,2026-04-18,,Change request approved by steering group,SyntheticPlanview
LB-00081,PJ-200-02-01,Assumption,Open,High,A. Smith,2026-03-11,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00082,PJ-300-03-04,Issue,Open,Medium,L. Brown,2026-08-19,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00083,PJ-200-03-01,Decision,Closed,High,A. Smith,2026-01-18,2026-02-06,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00084,PJ-200-03-05,Decision,Mitigated,High,K. Davis,2026-01-03,2026-01-16,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00085,PJ-200-01-01,Dependency,Mitigated,Medium,K. Davis,2026-04-29,2026-06-06,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00086,PJ-200-01-01,Dependency,Open,Low,M. Chen,2026-02-08,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00087,PJ-200-02-03,Decision,Open,Low,K. Davis,2026-06-12,,Security review pending for integration approach,SyntheticPlanview
LB-00088,PJ-200-01-05,Assumption,In Review,Medium,S. Jones,2026-01-27,,Security review pending for integration approach,SyntheticPlanview
LB-00089,PJ-100-01-04,Risk,Mitigated,Medium,L. Brown,2026-02-06,2026-02-12,Security review pending for integration approach,SyntheticPlanview
LB-00090,PJ-300-03-05,Risk,Mitigated,Low,L. Brown,2026-08-18,2026-09-17,Data mapping requires architecture decision,SyntheticPlanview
LB-00091,PJ-300-03-01,Assumption,Closed,Low,S. Jones,2026-07-29,2026-08-03,Change request approved by steering group,SyntheticPlanview
LB-00092,PJ-100-02-04,Decision,Mitigated,Critical,K. Davis,2026-03-02,2026-03-19,Change request approved by steering group,SyntheticPlanview
LB-00093,PJ-200-02-01,Issue,Closed,Low,M. Chen,2026-03-23,2026-04-10,Data mapping requires architecture decision,SyntheticPlanview
LB-00094,PJ-300-02-03,Risk,In Review,Medium,S. Jones,2026-01-28,,Security review pending for integration approach,SyntheticPlanview
LB-00095,PJ-200-02-01,Assumption,Open,High,M. Chen,2026-04-15,,Security review pending for integration approach,SyntheticPlanview
LB-00096,PJ-200-01-05,Risk,Mitigated,Medium,K. Davis,2026-04-29,2026-05-07,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00097,PJ-300-03-05,Issue,Open,High,M. Chen,2026-06-04,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00098,PJ-200-01-01,Risk,Closed,High,R. Patel,2026-04-02,2026-05-05,Data mapping requires architecture decision,SyntheticPlanview
LB-00099,PJ-100-01-02,Assumption,Closed,Medium,A. Smith,2026-04-14,2026-05-20,Security review pending for integration approach,SyntheticPlanview
LB-00100,PJ-100-02-02,Risk,In Review,Low,A. Smith,2026-07-25,,Data mapping requires architecture decision,SyntheticPlanview
LB-00101,PJ-100-02-04,Risk,Closed,High,A. Smith,2026-02-20,2026-03-16,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00102,PJ-100-01-05,Risk,Closed,High,A. Smith,2026-02-20,2026-03-01,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00103,PJ-200-03-05,Assumption,In Review,Critical,K. Davis,2026-01-13,,Security review pending for integration approach,SyntheticPlanview
LB-00104,PJ-300-01-02,Dependency,Closed,Medium,R. Patel,2026-01-08,2026-02-21,Data mapping requires architecture decision,SyntheticPlanview
LB-00105,PJ-100-03-02,Issue,Mitigated,Low,L. Brown,2026-03-12,2026-04-10,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00106,PJ-300-02-05,Dependency,Mitigated,Critical,A. Smith,2026-03-04,2026-04-05,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00107,PJ-200-01-03,Dependency,In Review,Medium,K. Davis,2026-04-09,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00108,PJ-200-01-01,Risk,Blocked,Critical,K. Davis,2026-06-11,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00109,PJ-300-01-01,Assumption,Closed,High,S. Jones,2026-05-20,2026-06-12,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00110,PJ-100-03-02,Issue,Mitigated,Low,R. Patel,2026-01-07,2026-02-15,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00111,PJ-300-01-01,Issue,Mitigated,Medium,A. Smith,2026-05-16,2026-06-23,Data mapping requires architecture decision,SyntheticPlanview
LB-00112,PJ-300-03-03,Risk,Mitigated,Medium,L. Brown,2026-03-03,2026-04-07,Security review pending for integration approach,SyntheticPlanview
LB-00113,PJ-200-02-03,Issue,In Review,Medium,L. Brown,2026-08-28,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00114,PJ-300-03-05,Risk,Blocked,High,L. Brown,2026-04-02,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00115,PJ-100-02-05,Dependency,In Review,High,M. Chen,2026-05-25,,Security review pending for integration approach,SyntheticPlanview
LB-00116,PJ-100-01-03,Issue,Open,Medium,A. Smith,2026-01-24,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00117,PJ-300-01-01,Issue,Mitigated,Medium,R. Patel,2026-01-01,2026-02-10,Change request approved by steering group,SyntheticPlanview
LB-00118,PJ-100-03-02,Risk,Mitigated,Medium,L. Brown,2026-08-24,2026-08-28,Change request approved by steering group,SyntheticPlanview
LB-00119,PJ-100-02-05,Assumption,Open,High,A. Smith,2026-07-18,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00120,PJ-300-03-03,Risk,Blocked,High,R. Patel,2026-04-12,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00121,PJ-100-02-04,Dependency,Closed,High,M. Chen,2026-02-10,2026-03-23,Change request approved by steering group,SyntheticPlanview
LB-00122,PJ-300-02-01,Decision,Blocked,Medium,K. Davis,2026-06-27,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00123,PJ-100-03-02,Decision,Mitigated,Medium,M. Chen,2026-04-07,2026-05-22,Change request approved by steering group,SyntheticPlanview
LB-00124,PJ-100-01-01,Dependency,Blocked,Low,M. Chen,2026-06-29,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00125,PJ-200-02-01,Issue,Blocked,Low,S. Jones,2026-08-24,,Data mapping requires architecture decision,SyntheticPlanview
LB-00126,PJ-200-02-02,Issue,Open,High,R. Patel,2026-07-10,,Data mapping requires architecture decision,SyntheticPlanview
LB-00127,PJ-300-03-01,Decision,Open,Critical,A. Smith,2026-08-15,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00128,PJ-100-03-04,Decision,Open,High,A. Smith,2026-03-05,,Change request approved by steering group,SyntheticPlanview
LB-00129,PJ-100-01-01,Dependency,Closed,Medium,S. Jones,2026-01-13,2026-02-11,Security review pending for integration approach,SyntheticPlanview
LB-00130,PJ-200-02-05,Dependency,Blocked,Low,S. Jones,2026-03-31,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00131,PJ-300-03-02,Issue,In Review,Critical,A. Smith,2026-07-14,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00132,PJ-200-01-04,Risk,Mitigated,Low,R. Patel,2026-01-06,2026-01-23,Data mapping requires architecture decision,SyntheticPlanview
LB-00133,PJ-200-02-05,Assumption,Open,Low,R. Patel,2026-02-11,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00134,PJ-300-02-05,Dependency,Closed,Medium,L. Brown,2026-08-17,2026-08-19,Security review pending for integration approach,SyntheticPlanview
LB-00135,PJ-100-03-01,Decision,Open,Medium,M. Chen,2026-01-14,,Security review pending for integration approach,SyntheticPlanview
LB-00136,PJ-300-03-05,Decision,Blocked,High,R. Patel,2026-05-22,,Data mapping requires architecture decision,SyntheticPlanview
LB-00137,PJ-100-02-02,Assumption,Closed,Critical,M. Chen,2026-01-13,2026-02-19,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00138,PJ-200-02-04,Decision,Closed,Critical,M. Chen,2026-01-01,2026-01-07,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00139,PJ-100-01-02,Decision,In Review,Low,S. Jones,2026-02-22,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00140,PJ-200-01-05,Dependency,Closed,High,A. Smith,2026-07-20,2026-08-20,Change request approved by steering group,SyntheticPlanview
LB-00141,PJ-300-01-05,Decision,In Review,Critical,R. Patel,2026-04-10,,Data mapping requires architecture decision,SyntheticPlanview
LB-00142,PJ-200-03-04,Dependency,Mitigated,High,M. Chen,2026-01-12,2026-02-10,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00143,PJ-300-02-02,Risk,In Review,Low,K. Davis,2026-01-16,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00144,PJ-300-01-05,Issue,Blocked,Low,S. Jones,2026-04-16,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00145,PJ-200-03-02,Issue,Closed,Critical,R. Patel,2026-05-18,2026-06-24,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00146,PJ-200-03-01,Assumption,Open,Medium,A. Smith,2026-08-20,,Security review pending for integration approach,SyntheticPlanview
LB-00147,PJ-100-03-02,Issue,In Review,Medium,A. Smith,2026-02-12,,Security review pending for integration approach,SyntheticPlanview
LB-00148,PJ-100-02-01,Issue,Closed,High,R. Patel,2026-06-24,2026-07-07,Change request approved by steering group,SyntheticPlanview
LB-00149,PJ-100-01-05,Dependency,Closed,High,R. Patel,2026-01-23,2026-02-28,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00150,PJ-200-03-05,Assumption,Open,Critical,A. Smith,2026-08-23,,Security review pending for integration approach,SyntheticPlanview
LB-00151,PJ-100-02-05,Assumption,Blocked,Low,A. Smith,2026-02-07,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00152,PJ-100-02-02,Decision,Mitigated,Critical,R. Patel,2026-07-21,2026-08-25,Security review pending for integration approach,SyntheticPlanview
LB-00153,PJ-300-03-02,Assumption,Blocked,Critical,A. Smith,2026-05-05,,Data mapping requires architecture decision,SyntheticPlanview
LB-00154,PJ-200-01-03,Assumption,In Review,Critical,A. Smith,2026-04-14,,Security review pending for integration approach,SyntheticPlanview
LB-00155,PJ-200-02-02,Risk,In Review,Critical,R. Patel,2026-06-26,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00156,PJ-100-01-02,Decision,Mitigated,Critical,K. Davis,2026-03-28,2026-04-17,Change request approved by steering group,SyntheticPlanview
LB-00157,PJ-100-02-02,Issue,In Review,High,K. Davis,2026-08-11,,Security review pending for integration approach,SyntheticPlanview
LB-00158,PJ-200-02-01,Risk,Closed,Medium,S. Jones,2026-03-10,2026-04-18,Data mapping requires architecture decision,SyntheticPlanview
LB-00159,PJ-200-03-02,Decision,Closed,Low,L. Brown,2026-07-09,2026-08-12,Data mapping requires architecture decision,SyntheticPlanview
LB-00160,PJ-100-01-05,Dependency,Blocked,Medium,L. Brown,2026-03-21,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00161,PJ-100-01-02,Issue,In Review,Low,M. Chen,2026-02-14,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00162,PJ-200-03-05,Decision,Mitigated,High,S. Jones,2026-01-13,2026-01-26,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00163,PJ-200-03-01,Risk,Open,Medium,R. Patel,2026-06-12,,Security review pending for integration approach,SyntheticPlanview
LB-00164,PJ-300-02-04,Dependency,In Review,High,R. Patel,2026-04-25,,Data mapping requires architecture decision,SyntheticPlanview
LB-00165,PJ-200-01-02,Decision,Open,Low,S. Jones,2026-07-11,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00166,PJ-100-03-01,Issue,Blocked,Medium,K. Davis,2026-08-07,,Data mapping requires architecture decision,SyntheticPlanview
LB-00167,PJ-300-03-04,Dependency,Mitigated,Low,K. Davis,2026-02-22,2026-04-05,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00168,PJ-300-01-01,Issue,In Review,Low,M. Chen,2026-08-22,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00169,PJ-300-02-04,Decision,Mitigated,Critical,S. Jones,2026-07-26,2026-09-06,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00170,PJ-200-03-05,Dependency,In Review,High,K. Davis,2026-03-06,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00171,PJ-300-02-05,Risk,Blocked,Low,L. Brown,2026-04-12,,Change request approved by steering group,SyntheticPlanview
LB-00172,PJ-200-02-04,Assumption,Blocked,High,R. Patel,2026-05-24,,Change request approved by steering group,SyntheticPlanview
LB-00173,PJ-100-02-02,Decision,Open,High,K. Davis,2026-05-04,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00174,PJ-200-01-03,Issue,Mitigated,Medium,A. Smith,2026-03-08,2026-03-21,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00175,PJ-200-03-01,Issue,Mitigated,Low,K. Davis,2026-06-19,2026-08-02,Security review pending for integration approach,SyntheticPlanview
LB-00176,PJ-200-01-04,Dependency,Closed,Low,L. Brown,2026-03-08,2026-04-03,Change request approved by steering group,SyntheticPlanview
LB-00177,PJ-300-02-02,Decision,In Review,Medium,K. Davis,2026-07-28,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00178,PJ-300-03-01,Decision,Closed,High,M. Chen,2026-07-20,2026-09-01,Change request approved by steering group,SyntheticPlanview
LB-00179,PJ-300-02-01,Dependency,Mitigated,Medium,K. Davis,2026-02-16,2026-02-23,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00180,PJ-300-02-01,Decision,In Review,Low,M. Chen,2026-07-15,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00181,PJ-100-03-05,Decision,Mitigated,High,R. Patel,2026-07-10,2026-08-06,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00182,PJ-200-01-04,Dependency,Open,Low,K. Davis,2026-04-29,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00183,PJ-300-02-03,Dependency,Open,Medium,L. Brown,2026-06-08,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00184,PJ-300-03-04,Decision,Blocked,Critical,A. Smith,2026-04-08,,Data mapping requires architecture decision,SyntheticPlanview
LB-00185,PJ-100-02-04,Assumption,Mitigated,Critical,M. Chen,2026-02-21,2026-03-20,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00186,PJ-100-03-02,Dependency,Open,High,K. Davis,2026-07-19,,Data mapping requires architecture decision,SyntheticPlanview
LB-00187,PJ-200-02-01,Risk,Open,Critical,R. Patel,2026-06-12,,Data mapping requires architecture decision,SyntheticPlanview
LB-00188,PJ-100-03-01,Dependency,In Review,Low,M. Chen,2026-05-28,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00189,PJ-200-03-03,Dependency,Closed,Critical,S. Jones,2026-06-12,2026-07-08,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00190,PJ-100-01-03,Decision,In Review,Low,R. Patel,2026-05-17,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00191,PJ-100-03-03,Issue,Open,Medium,K. Davis,2026-01-05,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00192,PJ-200-01-05,Dependency,Open,High,M. Chen,2026-02-03,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00193,PJ-100-01-03,Assumption,Mitigated,High,S. Jones,2026-03-18,2026-04-17,Change request approved by steering group,SyntheticPlanview
LB-00194,PJ-100-02-04,Issue,Closed,Medium,S. Jones,2026-03-29,2026-04-21,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00195,PJ-100-03-05,Issue,In Review,Low,L. Brown,2026-02-27,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00196,PJ-100-03-01,Risk,Mitigated,Critical,K. Davis,2026-02-01,2026-03-15,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00197,PJ-300-01-05,Assumption,Open,Low,K. Davis,2026-06-09,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00198,PJ-300-03-02,Risk,Open,Low,S. Jones,2026-08-03,,Security review pending for integration approach,SyntheticPlanview
LB-00199,PJ-200-02-05,Decision,Blocked,Critical,K. Davis,2026-02-01,,Data mapping requires architecture decision,SyntheticPlanview
LB-00200,PJ-100-03-04,Decision,Open,Critical,K. Davis,2026-06-27,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00201,PJ-300-03-03,Assumption,Mitigated,Medium,S. Jones,2026-05-14,2026-06-23,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00202,PJ-300-01-03,Risk,Blocked,High,A. Smith,2026-07-04,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00203,PJ-300-01-02,Issue,Blocked,High,L. Brown,2026-02-20,,Data mapping requires architecture decision,SyntheticPlanview
LB-00204,PJ-200-02-03,Issue,Closed,Low,L. Brown,2026-06-30,2026-07-19,Security review pending for integration approach,SyntheticPlanview
LB-00205,PJ-100-03-04,Issue,Closed,Low,A. Smith,2026-06-26,2026-07-18,Change request approved by steering group,SyntheticPlanview
